Date,Open,High,Low,Close,Adj Close,Volume
2016-06-23,147.0,150.0,146.0,146.6999969482422,143.9616241455078,5057
2016-06-24,146.85000610351562,150.0,138.0,142.0,139.34938049316406,2433
2016-06-27,147.0,150.9499969482422,142.0,150.8000030517578,147.985107421875,125
2016-06-28,147.0,150.0,147.0,149.9499969482422,147.15097045898438,5275
2016-06-29,151.0,158.9499969482422,148.0,150.75,147.93605041503906,1408
2016-06-30,156.8000030517578,156.8000030517578,155.3000030517578,155.3000030517578,152.40110778808594,100
2016-07-01,156.5,156.5,150.0,150.64999389648438,147.83790588378906,3789
2016-07-04,156.85000610351562,158.85000610351562,148.0,158.0,155.0507049560547,3123
2016-07-05,158.89999389648438,158.89999389648438,151.0,156.6999969482422,153.7749481201172,3785
2016-07-07,158.89999389648438,158.89999389648438,155.0,156.9499969482422,154.02029418945312,639
2016-07-08,157.85000610351562,157.85000610351562,150.10000610351562,152.60000610351562,149.7515106201172,2786
2016-07-11,159.0,171.0,150.0500030517578,159.85000610351562,156.86618041992188,10360
2016-07-12,174.0,174.0,159.0500030517578,162.0500030517578,159.02511596679688,2418
2016-07-13,173.39999389648438,173.39999389648438,162.1999969482422,166.6999969482422,163.58828735351562,2130
2016-07-14,167.5,171.8000030517578,165.0,169.25,167.0930633544922,2458
2016-07-15,169.25,196.25,166.0,170.6999969482422,168.52459716796875,6097
2016-07-18,185.0,199.0,167.0,173.9499969482422,171.73316955566406,1277
2016-07-19,193.10000610351562,194.0,165.5,167.75,165.6121826171875,305
2016-07-20,185.0,185.0,158.10000610351562,159.9499969482422,157.9115753173828,1927
2016-07-21,164.0,170.0,152.25,154.9499969482422,152.9752960205078,4195
2016-07-22,164.0,164.0,142.0,144.39999389648438,142.5597381591797,1732
2016-07-25,145.10000610351562,149.9499969482422,141.9499969482422,144.0,142.16485595703125,2406
2016-07-26,159.8000030517578,159.8000030517578,145.0,151.0,149.0756378173828,533
2016-07-27,152.0,158.0,143.8000030517578,152.8000030517578,150.8527069091797,3580
2016-07-28,152.0,157.0,147.0,154.5500030517578,152.5803985595703,1830
2016-07-29,157.89999389648438,160.0,149.0,159.39999389648438,157.36859130859375,2037
2016-08-01,165.60000610351562,170.0,159.0,162.75,160.67588806152344,2072
2016-08-02,165.0,169.0,160.3000030517578,165.35000610351562,163.24278259277344,2585
2016-08-03,171.60000610351562,171.60000610351562,165.35000610351562,167.10000610351562,164.97047424316406,301
2016-08-04,180.0,180.0,166.35000610351562,170.60000610351562,168.4258575439453,464
2016-08-05,184.0,184.0,162.14999389648438,173.35000610351562,171.1408233642578,677
2016-08-08,179.0,179.0,167.14999389648438,173.8000030517578,171.58506774902344,1005
2016-08-09,179.89999389648438,179.89999389648438,165.0,173.14999389648438,170.943359375,1044
2016-08-10,179.0,179.0,160.60000610351562,166.0500030517578,163.93385314941406,770
